"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"2706 1308 HORNBY STREET","VVWDT","$583,500","127","1","1","654","2014","2","No","1","$281.02","$892.20","$599,000","$583,500","12/22/2015","Yes","SE GORGEOUS WATER AND CITY"
"P5 1855 NELSON STREET","VVWWE","$584,000","62","2","1","975","1976","39","Yes","1","$309.51","$598.97","$599,900","$584,000","9/23/2015","Yes","CITY & MOUNTAIN"
"301 535 SMITHE STREET","VVWDT","$585,000","40","1","1","818","2010","5","Yes","1","$307.98","$715.16","$595,000","$585,000","10/17/2015",,
"1202 1723 ALBERNI STREET","VVWWE","$585,000","17","2","2","780","1997","18",,"1","$396.61","$750.00","$549,000","$585,000","9/19/2015",,
"2406 555 JERVIS STREET","VVWCB","$585,000","11","1","1","667","1996","19","Yes",,"$351.00","$877.06","$588,000","$585,000","10/17/2015","Yes","Ocean View"
"1207 1189 MELVILLE STREET","VVWCB","$585,000","5","1","1","718","2007","8","Yes","1","$397.00","$814.76","$589,000","$585,000","11/1/2015","Yes","CITY, WATER & MOUNTAINS"
"702 1133 HOMER STREET","VVWYA","$588,000","2","2","2","816","2008","7","Yes","1","$314.07","$720.59","$585,000","$588,000","9/23/2015",,
"1802 188 KEEFER PLACE","VVWDT","$588,000","31","2","2","908","2009","6","No","1","$390.44","$647.58","$588,000","$588,000","11/10/2015","Yes","MOUNTAIN AND CITY VIEW"
"607 950 CAMBIE STREET","VVWYA","$590,000","2","2","2","1,137","1994","21","No","1","$515.99","$518.91","$585,000","$590,000","11/18/2015","No",
"302 1032 NICOLA STREET","VVWWE","$590,000","22","2","2","1,050","1986","30","Yes","1","$302.03","$561.90","$609,000","$590,000","12/1/2015","No",
"303 535 SMITHE STREET","VVWDT","$590,000","7","1","1","791","2008","7","Yes","1","$353.21","$745.89","$559,000","$590,000","11/9/2015","Yes","CITYSCAPE"
"602 128 W CORDOVA STREET","VVWDT","$595,000","13","2","2","917","2010","5","No","1","$507.75","$648.85","$599,000","$595,000","10/13/2015",,
"2804 610 GRANVILLE STREET","VVWDT","$595,000","78","1","1","720","2006","9","No","1","$280.00","$826.39","$599,000","$595,000","12/18/2015","Yes","City & water"
"1801 1495 RICHARDS STREET","VVWYA","$595,000","7","1","1","742","2004","11","No","1","$338.76","$801.89","$589,000","$595,000","10/7/2015","Yes","Partial water view"
