Address,SubArea,Price,DaysOnMarket,Bedrooms,Bathrooms,FloorArea,YearBuilt,Age,Locker,Parking,MaintenanceFees,SalePricePerSquareFoot,List Price,Sold Price,Sold Date,View,VwSpecify,ValueOfView,ValueOfSubArea,Sold Timestamp
803 1108 NICOLA STREET,VVWWE,294000,135.0,1.0,1.0,563.0,1973.0,40,1.0,1.0,3.487,5.222,32.0,29.4,2014-02-19,Yes,"N SHORE MOUNTAIN, CITY",2.0,3.0,1392768000.0
301 1018 CAMBIE STREET,VVWYA,295000,10.0,0.0,1.0,439.0,1999.0,15,0.0,1.0,2.1612999999999998,6.7198,29.9,29.5,2014-01-20,Yes,CITY,2.0,4.0,1390176000.0
714 1010 HOWE STREET,VVWDT,295000,26.0,1.0,1.0,504.0,1982.0,32,1.0,1.0,2.6,5.8532,30.9,29.5,2014-05-26,Yes,HOWE STREET,1.0,2.0,1401062400.0
803 1010 HOWE STREET,VVWDT,295000,169.0,1.0,1.0,527.0,1982.0,31,1.0,1.0,2.3163,5.5977,32.75,29.5,2014-03-08,Yes,CITY AND NORTH SHORE,2.0,2.0,1394236800.0
1505 1225 RICHARDS STREET,VVWDT,295000,190.0,0.0,1.0,401.0,2003.0,10,1.0,0.0,1.5932,7.356599999999999,30.5,29.5,2014-06-19,Yes,"S.E. CITY LIGHTS,CORRIDOR VIEWS OF WATER AND TO THE RIGHT",2.0,2.0,1403136000.0
704 1188 HOWE STREET,VVWDT,295000,23.0,1.0,1.0,527.0,1994.0,20,1.0,1.0,2.5614,5.5977,29.99,29.5,2014-05-31,No,,-1.0,2.0,1401494400.0
402 1108 NICOLA STREET,VVWWE,296000,22.0,1.0,1.0,539.0,1975.0,39,1.0,1.0,2.6832,5.4917,30.9,29.6,2014-06-24,Yes,"GARDENS, PARK AND TREE-LINED STREET",1.0,3.0,1403568000.0
1502 1367 ALBERNI STREET,VVWWE,296500,7.0,0.0,1.0,445.0,1999.0,15,1.0,1.0,2.1094,6.6629,29.9,29.65,2014-05-03,Yes,.,1.0,3.0,1399075200.0
2203 1188 HOWE STREET,VVWDT,299000,36.0,1.0,1.0,485.0,1994.0,20,0.0,1.0,2.3285,6.1649,29.9,29.9,2014-02-17,Yes,CITY,2.0,2.0,1392595200.0
2003 1331 ALBERNI STREET,VVWWE,299000,2.0,0.0,1.0,396.0,1999.0,15,1.0,1.0,1.9037,7.5504999999999995,29.9,29.9,2014-03-20,Yes,MOUNTAINS & COAL HARBOUR,2.0,3.0,1395273600.0
1013 1010 HOWE STREET,VVWDT,299000,23.0,1.0,1.0,479.0,1982.0,32,1.0,1.0,2.3331999999999997,6.2422,29.9,29.9,2014-03-12,Yes,CITY,2.0,2.0,1394582400.0
308 1855 NELSON STREET,VVWWE,300000,9.0,1.0,1.0,661.0,1977.0,37,1.0,1.0,2.6762,4.5386,30.5,30.0,2014-02-20,No,,-1.0,3.0,1392854400.0
2405 438 SEYMOUR STREET,VVWDT,300000,192.0,1.0,1.0,516.0,1995.0,18,1.0,1.0,2.7771,5.814,32.3,30.0,2014-01-10,Yes,SPECTACULAR MOUNTAIN & WATER,2.0,2.0,1389312000.0
706 939 EXPO BOULEVARD,VVWYA,300000,7.0,0.0,1.0,445.0,2005.0,9,0.0,1.0,2.2281999999999997,6.7416,28.8,30.0,2014-02-03,Yes,CITY,2.0,4.0,1391385600.0
102 1655 NELSON STREET,VVWWE,300000,45.0,1.0,1.0,665.0,1973.0,41,1.0,1.0,3.1404,4.5113,30.8,30.0,2014-05-08,,,0.0,3.0,1399507200.0
